datetime,timestamp,temp,humidity,pressure,rain_analog,rain_detected,light_intensity,nh3,co,co2,alcohol,lpg,ch4,aqi
2024-04-24T00:42:00,1713899520,30.65,30.0,1007.6,98,False,10.0,2.3,127.0,0.5,0.9,256.4,252.1,171
2024-04-24T02:42:00,1713906720,28.65,44.0,1008.3,97,False,14.0,3.3,146.0,0.6,1.0,269.4,272.5,196
2024-04-24T04:13:00,1713912180,26.65,30.0,1015.5,98,False,0.0,2.2,128.0,0.5,0.9,245.2,248.4,169
2024-04-24T07:54:00,1713925440,28.65,31.0,1009.2,98,False,258.0,3.6,154.0,0.7,1.2,264.6,269.2,218
2024-04-24T09:07:00,1713929820,32.65,40.0,1012.4,97,False,302.0,2.5,138.0,0.5,1.1,260.7,260.1,195
2024-04-24T12:12:00,1713940920,38.650000000000006,30.0,1011.9,100,False,400.0,2.8,140.0,0.6,1.2,275.0,277.8,180
2024-04-24T14:49:00,1713950340,42.650000000000006,30.0,1007.0,99,False,352.0,2.8,129.0,0.5,0.9,245.2,244.3,152
2024-04-24T16:38:00,1713956880,40.25,30.0,1006.7,95,False,268.0,3.3,150.0,0.6,1.4,290.4,293.9,206
2024-04-24T19:38:00,1713967680,36.650000000000006,30.0,1010.3,99,False,84.0,3.0,141.0,0.5,1.5,288.9,292.4,215
2024-04-24T21:29:00,1713974340,34.25,35.0,1008.8,99,False,0.0,2.1,125.0,0.5,1.1,253.2,257.5,164
2024-04-25T00:55:00,1713986700,29.85,44.0,1008.7,98,False,0.0,2.4,129.0,0.5,1.2,251.8,249.0,141
2024-04-25T02:20:00,1713991800,27.85,48.0,1012.9,99,False,0.0,2.4,117.0,0.4,0.9,265.5,263.7,142
2024-04-25T04:31:00,1713999660,25.85,30.0,1009.6,96,False,7.0,1.9,112.0,0.5,0.6,244.0,249.0,130
2024-04-25T07:47:00,1714011420,27.8,42.0,1013.1,99,False,236.0,1.9,118.0,0.4,0.8,232.3,234.4,151
2024-04-25T09:51:00,1714018860,31.85,30.0,1010.0,100,False,322.0,3.0,125.0,0.4,1.2,264.8,260.6,164
2024-04-25T12:20:00,1714027800,37.8,30.0,1009.2,98,False,398.0,1.7,111.0,0.3,1.1,242.1,244.5,113
2024-04-25T14:05:00,1714034100,41.85,30.0,1010.3,96,False,322.0,2.0,122.0,0.5,0.9,227.0,229.0,138
2024-04-25T16:48:00,1714043880,39.45,30.0,1007.8,99,False,267.0,2.2,141.0,0.4,1.4,247.0,248.8,170
2024-04-25T19:58:00,1714055280,35.8,30.0,1010.0,100,False,87.0,2.2,139.0,0.5,0.9,243.1,242.5,171
2024-04-25T21:57:00,1714062420,33.45,37.0,1010.9,98,False,0.0,2.5,123.0,0.5,1.0,239.2,235.9,129
2024-04-26T00:33:00,1714071780,28.35,35.0,1009.9,97,False,1.0,2.3,143.0,0.5,0.9,276.8,274.8,184
2024-04-26T02:21:00,1714078260,26.35,41.0,1011.5,49,True,10.0,2.7,133.0,0.4,1.4,276.1,278.1,169
2024-04-26T04:30:00,1714086000,24.4,36.0,1015.4,92,False,19.0,3.0,137.0,0.5,1.3,267.0,270.3,174
2024-04-26T07:37:00,1714097220,26.4,30.0,1010.6,90,False,233.0,2.5,139.0,0.5,1.5,257.1,255.2,195
2024-04-26T09:33:00,1714104180,30.4,41.0,1010.3,93,False,325.0,3.2,134.0,0.5,1.6,276.5,280.0,209
2024-04-26T12:41:00,1714115460,36.400000000000006,36.0,1011.3,56,True,175.0,2.1,139.0,0.4,0.8,244.8,246.5,161
2024-04-26T14:57:00,1714123620,40.400000000000006,30.0,1008.3,15,True,251.0,1.8,122.0,0.5,0.9,235.4,232.1,147
2024-04-26T16:14:00,1714128240,38.0,30.0,1007.8,67,True,97.0,2.9,138.0,0.5,1.4,273.6,276.1,201
2024-04-26T19:27:00,1714139820,34.349999999999994,30.0,1007.4,12,True,33.0,3.3,147.0,0.5,1.1,270.5,275.3,209
2024-04-26T21:04:00,1714145640,32.0,34.0,1008.9,95,False,12.0,2.0,126.0,0.5,0.9,269.7,267.1,153
2024-04-27T00:20:00,1714157400,28.85,30.0,1011.2,98,False,20.0,2.3,138.0,0.5,1.1,249.3,246.0,158
2024-04-27T02:36:00,1714165560,26.9,40.0,1011.0,95,False,0.0,2.0,129.0,0.5,1.0,248.1,249.6,152
2024-04-27T04:56:00,1714173960,24.9,30.0,1012.7,100,False,0.0,2.7,136.0,0.5,1.2,255.1,250.5,170
2024-04-27T07:05:00,1714181700,26.85,35.0,1009.8,95,False,233.0,2.3,140.0,0.5,1.3,266.1,265.3,171
2024-04-27T09:40:00,1714191000,30.85,33.0,1009.9,100,False,303.0,3.2,144.0,0.6,1.4,271.0,270.1,203
2024-04-27T12:00:00,1714199400,36.900000000000006,30.0,1013.7,95,False,408.0,1.8,127.0,0.5,1.2,249.8,247.6,142
2024-04-27T14:25:00,1714208100,40.9,30.0,1006.4,97,False,337.0,2.8,138.0,0.5,1.3,257.7,253.9,156
2024-04-27T16:05:00,1714214100,38.45,30.0,1009.1,99,False,264.0,2.8,135.0,0.6,1.3,260.9,264.6,181
2024-04-27T19:02:00,1714224720,34.849999999999994,30.0,1007.6,99,False,61.0,3.0,141.0,0.5,1.0,274.6,278.1,181
2024-04-27T21:08:00,1714232280,32.5,34.0,1007.6,95,False,0.0,2.3,116.0,0.5,0.9,261.1,264.4,140
2024-04-28T00:40:00,1714245000,25.35,41.0,1011.1,100,False,0.0,2.9,134.0,0.5,1.1,290.9,290.5,194
2024-04-28T02:43:00,1714252380,23.35,41.0,1007.3,97,False,13.0,3.2,140.0,0.6,1.4,260.5,259.2,206
2024-04-28T04:46:00,1714259760,21.35,34.0,1013.2,95,False,7.0,2.6,136.0,0.6,1.4,279.5,281.5,206
2024-04-28T07:44:00,1714270440,23.35,33.0,1013.7,97,False,252.0,3.0,143.0,0.6,1.5,284.8,281.3,204
2024-04-28T09:45:00,1714277700,27.35,30.0,1010.0,95,False,324.0,3.1,137.0,0.5,1.6,274.2,270.4,209
2024-04-28T12:11:00,1714286460,33.35,30.0,1009.4,97,False,408.0,2.0,132.0,0.5,1.0,253.3,254.5,155
2024-04-28T14:41:00,1714295460,37.349999999999994,30.0,1010.7,95,False,339.0,3.0,139.0,0.4,1.0,286.8,291.4,184
2024-04-28T16:18:00,1714301280,34.95,35.0,1009.2,95,False,271.0,3.5,150.0,0.6,1.2,276.8,272.5,215
2024-04-28T19:57:00,1714314420,31.3,30.0,1011.1,98,False,86.0,3.0,136.0,0.5,1.6,297.4,297.0,222
2024-04-28T21:11:00,1714318860,28.950000000000003,30.0,1008.0,100,False,0.0,2.6,138.0,0.5,1.3,255.9,260.8,191
2024-04-29T00:00:00,1714329000,27.75,39.0,1009.2,100,False,0.0,2.0,124.0,0.4,0.8,262.3,262.3,149
2024-04-29T02:27:00,1714337820,25.75,40.0,1009.0,100,False,8.0,2.2,131.0,0.4,1.1,256.2,252.0,151
2024-04-29T04:53:00,1714346580,23.7,39.0,1013.1,98,False,4.0,2.1,123.0,0.5,0.7,241.4,237.3,151
2024-04-29T07:10:00,1714354800,25.75,32.0,1010.2,99,False,263.0,3.3,139.0,0.5,1.5,287.8,287.3,187
2024-04-29T09:15:00,1714362300,29.75,36.0,1014.0,96,False,315.0,3.0,129.0,0.5,1.4,285.0,288.5,191
2024-04-29T12:28:00,1714373880,35.75,30.0,1008.2,100,False,389.0,2.8,128.0,0.6,1.1,271.3,269.8,160
2024-04-29T14:31:00,1714381260,39.75,30.0,1008.8,100,False,351.0,2.9,124.0,0.5,1.1,267.5,269.3,168
2024-04-29T16:46:00,1714389360,37.3,30.0,1010.0,95,False,277.0,3.1,147.0,0.5,1.2,284.7,283.9,200
2024-04-29T19:24:00,1714398840,33.75,30.0,1007.3,96,False,88.0,3.3,133.0,0.6,1.4,258.5,263.2,200
2024-04-29T21:10:00,1714405200,31.35,33.0,1011.4,96,False,9.0,2.6,134.0,0.5,1.3,269.5,267.0,170
2024-04-30T00:58:00,1714418880,25.6,41.0,1010.2,98,False,0.0,3.1,130.0,0.6,1.4,262.6,258.3,170
2024-04-30T02:16:00,1714423560,23.6,35.0,1012.0,97,False,0.0,3.3,128.0,0.6,1.2,259.0,260.1,187
2024-04-30T04:12:00,1714430520,21.55,43.0,1011.5,95,False,0.0,2.6,134.0,0.5,0.8,274.6,273.8,174
2024-04-30T07:14:00,1714441440,23.6,41.0,1011.5,95,False,232.0,2.7,135.0,0.5,1.0,265.4,261.1,208
2024-04-30T09:54:00,1714451040,27.55,41.0,1013.5,97,False,317.0,3.4,145.0,0.6,1.2,275.8,275.6,211
2024-04-30T12:28:00,1714460280,33.55,30.0,1014.1,95,False,409.0,2.2,142.0,0.4,1.4,251.2,254.4,171
2024-04-30T14:50:00,1714468800,37.6,30.0,1008.4,99,False,352.0,2.2,130.0,0.5,1.0,251.0,255.0,169
2024-04-30T16:05:00,1714473300,35.2,30.0,1009.0,99,False,289.0,2.6,135.0,0.6,1.0,284.2,288.7,205
2024-04-30T19:01:00,1714483860,31.55,34.0,1007.6,99,False,68.0,3.7,139.0,0.5,1.5,280.1,282.7,217
2024-04-30T21:07:00,1714491420,29.200000000000003,30.0,1011.4,99,False,0.0,2.0,131.0,0.5,1.2,268.6,266.6,164
2024-05-01T00:01:00,1714501860,27.1,38.0,1009.8,97,False,14.0,2.2,122.0,0.5,0.9,268.9,269.4,164
2024-05-01T02:18:00,1714510080,25.15,33.0,1011.4,96,False,15.0,2.6,131.0,0.5,0.9,240.7,244.1,155
2024-05-01T04:36:00,1714518360,23.1,32.0,1011.3,100,False,0.0,2.6,125.0,0.4,1.1,258.7,260.2,158
2024-05-01T07:57:00,1714530420,25.1,34.0,1012.1,100,False,253.0,2.9,123.0,0.5,1.4,244.4,240.0,172
2024-05-01T09:18:00,1714535280,29.1,41.0,1014.4,95,False,318.0,3.1,136.0,0.5,1.3,277.9,277.7,179
2024-05-01T12:56:00,1714548360,35.15,30.0,1011.2,98,False,388.0,2.5,119.0,0.5,0.8,248.3,247.3,138
2024-05-01T14:25:00,1714553700,39.1,34.0,1012.8,99,False,330.0,2.1,125.0,0.6,1.3,261.1,262.1,154
2024-05-01T16:33:00,1714561380,36.75,33.0,1009.3,98,False,261.0,3.2,145.0,0.6,1.4,271.8,273.9,199
2024-05-01T19:39:00,1714572540,33.099999999999994,30.0,1011.1,95,False,78.0,2.7,131.0,0.5,1.0,261.6,260.4,180
2024-05-01T21:04:00,1714577640,30.700000000000003,31.0,1009.3,95,False,0.0,2.1,124.0,0.5,1.2,249.2,251.2,137
2024-05-02T00:43:00,1714590780,32.0,40.0,1007.8,100,False,8.0,2.5,132.0,0.4,1.2,240.8,244.4,160
2024-05-02T02:23:00,1714596780,30.0,30.0,1011.0,100,False,0.0,3.0,127.0,0.5,1.0,239.8,243.2,164
2024-05-02T04:20:00,1714603800,28.0,49.0,1012.0,100,False,0.0,2.6,139.0,0.4,1.0,272.6,268.1,163
2024-05-02T07:27:00,1714615020,30.0,50.0,1011.6,96,False,232.0,3.1,133.0,0.6,0.9,261.9,261.6,184
2024-05-02T09:44:00,1714623240,33.95,30.0,1009.8,100,False,317.0,2.9,138.0,0.4,1.0,290.2,291.3,193
2024-05-02T12:43:00,1714633980,40.0,30.0,1010.4,96,False,393.0,1.8,133.0,0.5,0.9,265.9,269.5,142
2024-05-02T14:53:00,1714641780,44.0,30.0,1008.3,96,False,348.0,2.3,124.0,0.4,1.0,227.4,223.2,144
2024-05-02T16:46:00,1714648560,41.6,35.0,1009.6,100,False,278.0,3.1,136.0,0.6,1.5,286.3,281.6,188
2024-05-02T19:54:00,1714659840,38.0,30.0,1009.0,96,False,81.0,2.5,130.0,0.6,1.2,262.8,263.4,194
2024-05-02T21:20:00,1714665000,35.599999999999994,36.0,1005.3,95,False,11.0,2.3,121.0,0.5,1.0,247.4,252.1,154
2024-05-03T00:44:00,1714677240,29.049999999999997,30.0,1008.6,100,False,0.0,2.7,127.0,0.5,0.8,257.9,255.9,160
2024-05-03T02:30:00,1714683600,27.05,43.0,1011.0,95,False,17.0,2.3,128.0,0.5,0.8,262.5,257.9,157
2024-05-03T04:24:00,1714690440,25.1,36.0,1013.6,98,False,0.0,2.6,136.0,0.6,1.0,255.7,252.5,165
2024-05-03T07:10:00,1714700400,27.1,42.0,1013.4,99,False,250.0,2.9,135.0,0.6,1.3,258.5,262.1,176
2024-05-03T09:05:00,1714707300,31.049999999999997,30.0,1014.4,100,False,315.0,2.3,136.0,0.6,1.0,248.2,249.3,184
2024-05-03T12:17:00,1714718820,37.1,32.0,1011.0,100,False,397.0,2.5,135.0,0.4,0.8,249.7,254.4,149
2024-05-03T14:02:00,1714725120,41.05,30.0,1006.9,97,False,350.0,2.7,123.0,0.4,0.9,247.1,246.5,149
2024-05-03T16:31:00,1714734060,38.650000000000006,30.0,1009.0,97,False,275.0,2.5,140.0,0.5,1.0,253.2,257.7,189
2024-05-03T19:49:00,1714745940,35.05,30.0,1007.1,95,False,69.0,2.9,136.0,0.5,0.9,253.0,250.3,185
2024-05-03T21:14:00,1714751040,32.7,30.0,1010.4,97,False,0.0,2.2,130.0,0.4,1.0,258.3,254.5,143
2024-05-04T00:33:00,1714762980,30.85,30.0,1011.1,99,False,0.0,2.4,132.0,0.4,0.9,236.8,233.1,138
2024-05-04T02:02:00,1714768320,28.85,34.0,1012.9,98,False,10.0,2.3,133.0,0.4,0.9,229.0,225.2,136
2024-05-04T04:00:00,1714775400,26.85,43.0,1011.4,99,False,4.0,2.1,127.0,0.5,0.9,239.1,240.1,157
2024-05-04T07:48:00,1714789080,28.85,30.0,1010.0,96,False,252.0,3.0,143.0,0.5,0.8,273.2,269.9,177
2024-05-04T09:42:00,1714795920,32.849999999999994,33.0,1012.7,100,False,291.0,3.0,128.0,0.5,0.9,270.8,268.8,170
2024-05-04T12:58:00,1714807680,38.849999999999994,31.0,1011.9,95,False,385.0,1.6,120.0,0.4,1.0,220.6,224.1,124
2024-05-04T14:29:00,1714813140,42.85,30.0,1009.5,99,False,336.0,1.9,112.0,0.4,0.7,231.8,235.7,128
2024-05-04T16:36:00,1714820760,40.45,30.0,1008.1,100,False,261.0,2.4,130.0,0.4,0.8,237.7,234.5,164
2024-05-04T19:24:00,1714830840,36.85,37.0,1007.2,95,False,81.0,2.5,122.0,0.5,0.8,266.0,261.9,168
2024-05-04T21:21:00,1714837860,34.45,40.0,1009.9,96,False,4.0,1.9,119.0,0.4,1.1,243.6,246.0,133
2024-05-05T00:07:00,1714847820,28.200000000000003,30.0,1010.5,95,False,0.0,1.4,114.0,0.5,0.9,235.0,235.9,116
2024-05-05T02:58:00,1714858080,26.2,42.0,1011.3,95,False,0.0,2.3,121.0,0.4,1.0,249.9,245.6,113
2024-05-05T04:25:00,1714863300,24.200000000000003,37.0,1012.3,95,False,0.0,1.7,116.0,0.4,0.9,235.1,239.5,120
2024-05-05T07:37:00,1714874820,26.200000000000003,45.0,1012.2,100,False,264.0,1.9,112.0,0.5,0.9,259.2,258.3,131
2024-05-05T09:19:00,1714880940,30.25,44.0,1012.3,95,False,294.0,1.6,125.0,0.4,1.0,236.6,236.9,127
2024-05-05T12:06:00,1714890960,36.25,31.0,1012.6,97,False,417.0,1.4,123.0,0.4,1.0,241.8,237.7,109
2024-05-05T14:29:00,1714899540,40.2,30.0,1008.7,98,False,352.0,1.9,106.0,0.5,1.0,208.5,213.4,97
2024-05-05T16:39:00,1714907340,37.8,30.0,1008.4,95,False,288.0,1.8,114.0,0.5,0.8,227.2,230.0,128
2024-05-05T19:49:00,1714918740,34.2,38.0,1004.6,95,False,75.0,1.6,123.0,0.4,1.1,246.0,249.0,131
2024-05-05T21:42:00,1714925520,31.8,30.0,1007.5,95,False,0.0,1.7,118.0,0.3,0.7,213.6,217.6,93
